1,Precious Achiuwa,PF,21.0,MIA,61.0,737.0,14.2,0.55,0.004,0.482,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,0.0,0.3,1.0,1.3,0.085,0.0,-3.6,-0.5,-4.1,-0.4,achiupr01
2,Jaylen Adams,PG,24.0,MIL,7.0,18.0,-6.5,0.125,0.25,0.0,0.0,16.9,8.8,12.7,0.0,0.0,0.0,18.6,0.0,-0.1,0.0,-0.1,-0.252,0.0,-15.1,-4.6,-19.8,-0.1,adamsja01
3,Steven Adams,C,27.0,NOP,58.0,1605.0,15.1,0.596,0.01,0.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,0.0,2.3,1.7,4.0,0.119,0.0,-0.4,0.1,-0.3,0.7,adamsst01
4,Bam Adebayo,C,23.0,MIA,64.0,2143.0,22.7,0.626,0.01,0.443,7.7,22.6,15.3,26.9,1.7,3.2,15.0,23.7,0.0,5.6,3.2,8.8,0.197,0.0,2.9,2.0,4.9,3.7,adebaba01
5,LaMarcus Aldridge,C,35.0,TOT,26.0,674.0,15.7,0.556,0.27,0.159,3.0,15.8,9.4,11.0,0.8,3.7,7.9,22.2,0.0,0.5,0.6,1.1,0.08,0.0,-0.2,-0.2,-0.3,0.3,aldrila01
6,Ty-Shon Alexander,SG,22.0,PHO,15.0,47.0,4.2,0.349,0.75,0.167,4.9,19.0,12.1,15.4,0.0,1.9,18.9,15.0,0.0,-0.1,0.0,0.0,-0.048,0.0,-4.8,-1.7,-6.5,-0.1,alexaty01
7,Nickeil Alexander-Walker,SG,22.0,NOP,46.0,1007.0,12.5,0.522,0.478,0.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,0.0,-0.3,1.0,0.7,0.035,0.0,-1.4,0.1,-1.3,0.2,alexani01
8,Grayson Allen,SG,25.0,MEM,50.0,1259.0,12.8,0.586,0.662,0.22,1.6,12.0,6.7,11.5,1.7,0.6,9.6,16.8,0.0,1.5,1.2,2.7,0.101,0.0,-0.2,0.1,-0.2,0.6,allengr01
9,Jarrett Allen,C,22.0,TOT,63.0,1864.0,20.1,0.661,0.039,0.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,0.0,4.3,2.1,6.4,0.166,0.0,1.3,-0.2,1.1,1.4,allenja01
10,Al-Farouq Aminu,PF,30.0,TOT,23.0,434.0,8.9,0.469,0.374,0.222,5.1,21.9,13.3,10.1,2.1,1.9,20.5,13.6,0.0,-0.4,0.5,0.1,0.01,0.0,-4.9,1.1,-3.8,-0.2,aminual01
11,Kyle Anderson,PF,27.0,MEM,69.0,1887.0,17.2,0.578,0.397,0.28,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,0.0,2.9,2.7,5.6,0.143,0.0,1.4,1.9,3.3,2.5,anderky01
12,Giannis Antetokounmpo,PF,26.0,MIL,61.0,2013.0,29.2,0.633,0.201,0.528,5.3,28.9,17.5,28.7,1.7,3.2,13.2,32.5,0.0,6.9,3.3,10.2,0.244,0.0,6.2,2.8,9.0,5.6,antetgi01
13,Kostas Antetokounmpo,PF,23.0,LAL,15.0,56.0,0.0,0.382,0.0,1.3,8.1,29.9,19.1,2.3,1.7,6.4,41.2,20.7,0.0,-0.3,0.1,-0.2,-0.174,0.0,-13.3,0.8,-12.6,-0.1,antetko01
14,Thanasis Antetokounmpo,SF,28.0,MIL,57.0,551.0,10.3,0.523,0.212,0.358,10.7,12.9,11.8,10.3,1.9,1.6,21.3,15.3,0.0,0.0,0.6,0.7,0.057,0.0,-3.7,0.2,-3.5,-0.2,antetth01
15,Carmelo Anthony,PF,36.0,POR,69.0,1690.0,14.6,0.547,0.418,0.198,2.0,11.8,6.8,9.2,1.3,2.0,6.7,23.1,0.0,1.7,0.8,2.6,0.073,0.0,0.2,-1.3,-1.1,0.4,anthoca01
16,Cole Anthony,PG,20.0,ORL,47.0,1273.0,12.1,0.496,0.312,0.237,3.0,15.4,9.0,24.2,1.1,1.3,14.8,24.3,0.0,-0.9,0.9,0.0,-0.001,0.0,-1.9,-1.4,-3.3,-0.4,anthoco01
17,OG Anunoby,SF,23.0,TOR,43.0,1433.0,15.4,0.605,0.503,0.197,4.0,14.6,9.1,10.1,2.2,2.2,11.7,19.3,0.0,1.5,1.6,3.1,0.104,0.0,0.8,0.4,1.2,1.2,anunoog01
18,Ryan Arcidiacono,PG,26.0,CHI,44.0,450.0,9.8,0.541,0.573,0.171,1.2,15.1,8.3,16.3,1.0,0.0,7.4,13.1,0.0,0.5,0.4,0.9,0.093,0.0,-2.6,0.3,-2.3,0.0,arcidry01
19,Trevor Ariza,SF,35.0,MIA,30.0,841.0,11.9,0.542,0.593,0.183,3.7,15.6,9.8,9.4,1.8,2.2,7.5,15.1,0.0,0.5,1.0,1.6,0.091,0.0,-1.2,0.1,-1.1,0.2,arizatr01
20,D.J. Augustin,PG,33.0,TOT,57.0,1129.0,12.1,0.57,0.633,0.274,1.9,7.0,4.4,22.2,1.2,0.1,14.5,16.8,0.0,1.5,0.5,2.1,0.088,0.0,-0.6,-1.5,-2.1,0.0,augusdj01
21,Deni Avdija,SF,20.0,WAS,54.0,1257.0,7.6,0.515,0.538,0.144,1.9,20.2,11.0,6.3,1.2,1.0,9.0,12.0,0.0,0.0,1.2,1.2,0.046,0.0,-3.6,0.4,-3.1,-0.4,avdijde01
22,Deandre Ayton,C,22.0,PHO,69.0,2115.0,20.3,0.653,0.029,0.252,12.4,26.3,19.5,6.8,1.0,3.4,11.9,18.2,0.0,5.3,3.1,8.4,0.191,0.0,1.1,0.1,1.2,1.7,aytonde01
23,Udoka Azubuike,C,21.0,UTA,15.0,57.0,10.3,0.597,0.0,1.111,7.8,16.0,12.1,0.0,0.9,5.7,18.3,12.4,0.0,0.0,0.1,0.1,0.119,0.0,-5.5,1.7,-3.8,0.0,azubuud01
24,Dwayne Bacon,SG,25.0,ORL,72.0,1853.0,9.9,0.49,0.285,0.242,1.7,11.2,6.3,7.9,1.2,0.2,5.4,19.8,0.0,-0.3,0.9,0.5,0.013,0.0,-3.7,-1.4,-5.1,-1.5,bacondw01
25,Marvin Bagley III,PF,21.0,SAC,43.0,1112.0,16.3,0.554,0.22,0.273,10.4,21.5,15.9,5.8,0.9,1.6,9.7,23.5,0.0,0.9,0.5,1.4,0.059,0.0,-0.4,-2.7,-3.1,-0.3,baglema01
26,LaMelo Ball,PG,19.0,CHO,51.0,1469.0,17.5,0.539,0.388,0.246,4.6,17.9,11.1,33.9,2.7,1.2,16.3,26.1,0.0,1.0,1.9,2.8,0.093,0.0,1.1,0.7,1.8,1.4,ballla01
27,Lonzo Ball,PG,23.0,NOP,55.0,1747.0,15.2,0.551,0.65,0.091,2.1,14.3,8.2,25.4,2.3,1.7,14.5,20.5,0.0,1.5,1.7,3.2,0.089,0.0,1.4,0.3,1.7,1.6,balllo01
28,Mo Bamba,C,22.0,ORL,46.0,725.0,19.3,0.556,0.392,0.219,10.5,28.0,19.0,8.1,0.9,7.3,9.8,21.8,0.0,0.7,1.1,1.8,0.117,0.0,0.2,0.0,0.1,0.4,bambamo01
29,Desmond Bane,SG,22.0,MEM,68.0,1519.0,12.2,0.6,0.543,0.098,2.1,12.6,7.3,10.6,1.3,0.9,10.2,16.1,0.0,1.6,1.3,2.9,0.093,0.0,-0.6,-0.2,-0.8,0.5,banede01
30,Harrison Barnes,PF,28.0,SAC,58.0,2102.0,15.4,0.626,0.399,0.366,3.3,17.2,10.2,13.0,1.0,0.4,11.1,17.2,0.0,4.0,0.5,4.5,0.103,0.0,1.5,-1.3,0.2,1.1,barneha02
31,RJ Barrett,SG,20.0,NYK,72.0,2511.0,13.4,0.535,0.292,0.26,3.0,14.8,8.9,13.8,1.1,0.8,10.5,23.4,0.0,0.9,3.1,4.1,0.078,0.0,-0.9,-0.3,-1.2,0.5,barrerj01
32,Will Barton,SF,30.0,DEN,56.0,1736.0,11.8,0.538,0.423,0.199,2.6,12.2,7.4,14.1,1.4,1.3,12.7,19.0,0.0,0.7,1.5,2.2,0.061,0.0,-1.0,-0.8,-1.9,0.1,bartowi01
33,Keita Bates-Diop,SF,25.0,SAS,30.0,245.0,12.0,0.518,0.254,0.313,3.8,17.7,10.6,6.6,2.2,1.7,8.4,14.8,0.0,0.1,0.3,0.3,0.068,0.0,-2.3,0.4,-1.9,0.0,bateske01
34,Nicolas Batum,SF,32.0,LAC,67.0,1835.0,12.9,0.617,0.66,0.141,3.2,15.9,9.7,10.5,1.9,1.8,10.8,11.8,0.0,2.7,2.3,5.0,0.132,0.0,0.6,1.5,2.1,1.9,batumni01
35,Aron Baynes,C,34.0,TOR,53.0,980.0,10.5,0.503,0.339,0.135,9.4,21.7,15.3,7.0,0.8,2.3,12.5,16.2,0.0,0.1,0.9,1.0,0.049,0.0,-3.4,-1.1,-4.5,-0.6,baynear01
36,Kent Bazemore,SF,31.0,GSW,67.0,1333.0,10.6,0.564,0.469,0.199,2.1,16.0,9.1,11.1,2.4,2.2,16.1,16.3,0.0,-0.2,2.1,1.8,0.065,0.0,-2.9,1.7,-1.2,0.2,bazemke01
37,Darius Bazley,PF,20.0,OKC,55.0,1714.0,9.7,0.491,0.414,0.258,3.1,21.2,12.0,8.9,0.8,1.3,13.7,22.1,0.0,-2.3,1.4,-0.9,-0.026,0.0,-3.1,-1.3,-4.4,-1.0,bazleda01
38,Bradley Beal,SG,27.0,WAS,60.0,2147.0,22.7,0.593,0.27,0.332,3.6,10.4,7.0,21.3,1.5,0.9,10.6,34.1,0.0,4.2,1.7,5.9,0.132,0.0,4.8,-1.4,3.4,2.9,bealbr01
39,Malik Beasley,SG,24.0,MIN,37.0,1214.0,14.6,0.57,0.535,0.133,2.4,12.4,7.2,11.6,1.2,0.5,8.6,24.0,0.0,0.9,0.4,1.3,0.053,0.0,1.6,-1.8,-0.2,0.6,beaslma01
40,Jordan Bell,C,26.0,TOT,6.0,82.0,8.0,0.328,0.091,0.091,9.1,21.9,15.5,10.6,1.7,5.2,14.9,13.6,0.0,-0.1,0.1,0.0,-0.008,0.0,-5.9,0.1,-5.8,-0.1,belljo01
