1,Steven Adams,C,26.0,OKC,63.0,1680.0,20.5,0.604,0.006,0.421,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,0.0,3.8,2.7,6.5,0.185,0.0,1.9,1.1,2.9,2.1,adamsst01
2,Bam Adebayo,PF,22.0,MIA,72.0,2417.0,20.3,0.598,0.018,0.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,0.0,4.6,3.9,8.5,0.168,0.0,1.4,2.0,3.4,3.3,adebaba01
3,LaMarcus Aldridge,C,34.0,SAS,53.0,1754.0,19.7,0.571,0.198,0.241,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.4,0.0,3.0,1.4,4.5,0.122,0.0,1.8,-0.5,1.4,1.5,aldrila01
4,Kyle Alexander,C,23.0,MIA,2.0,13.0,4.7,0.5,0.0,0.0,17.9,8.3,12.9,0.0,0.0,0.0,33.3,10.2,0.0,0.0,0.0,0.0,-0.003,0.0,-6.4,-3.7,-10.1,0.0,alexaky01
5,Nickeil Alexander-Walker,SG,21.0,NOP,47.0,591.0,8.9,0.473,0.5,0.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,0.0,-0.7,0.4,-0.2,-0.02,0.0,-3.2,-1.4,-4.6,-0.4,alexani01
6,Grayson Allen,SG,24.0,MEM,38.0,718.0,12.0,0.609,0.562,0.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,0.0,0.8,0.4,1.2,0.082,0.0,-0.1,-1.2,-1.3,0.1,allengr01
7,Jarrett Allen,C,21.0,BRK,70.0,1852.0,20.7,0.664,0.013,0.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,0.0,5.2,2.9,8.2,0.212,0.0,1.4,1.0,2.3,2.0,allenja01
8,Kadeem Allen,PG,27.0,NYK,10.0,117.0,14.0,0.512,0.364,0.25,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,0.0,0.1,0.1,0.1,0.053,0.0,-0.3,-0.7,-0.9,0.0,allenka01
9,Al-Farouq Aminu,PF,29.0,ORL,18.0,380.0,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,0.0,-0.4,0.5,0.1,0.014,0.0,-4.4,1.4,-3.0,-0.1,aminual01
10,Justin Anderson,SG,26.0,BRK,10.0,107.0,3.2,0.352,0.763,0.105,1.0,18.9,10.2,10.1,0.0,4.7,9.1,17.1,0.0,-0.2,0.1,-0.1,-0.054,0.0,-6.8,-1.0,-7.7,-0.2,anderju01
