1,Álex Abrines,SG,23.0,OKC,68.0,1055.0,10.1,0.56,0.724,0.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,0.0,1.2,0.9,2.1,0.096,0.0,-1.3,-0.4,-1.6,0.1,abrinal01
2,Quincy Acy,PF,26.0,TOT,38.0,558.0,11.8,0.565,0.529,0.353,3.9,18.0,11.0,4.9,1.2,2.0,9.7,16.8,0.0,0.5,0.5,0.9,0.082,0.0,-1.5,-0.6,-2.1,0.0,acyqu01
3,Steven Adams,C,23.0,OKC,80.0,2389.0,16.5,0.589,0.002,0.392,13.0,15.4,14.2,5.4,1.8,2.6,16.0,16.2,0.0,3.3,3.1,6.5,0.13,0.0,-0.2,0.0,-0.2,1.1,adamsst01
4,Arron Afflalo,SG,31.0,SAC,61.0,1580.0,8.9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,0.0,1.2,0.2,1.4,0.043,0.0,-2.1,-1.5,-3.6,-0.7,afflaar01
5,Alexis Ajinça,C,28.0,NOP,39.0,584.0,12.9,0.529,0.022,0.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,0.0,0.0,0.9,1.0,0.08,0.0,-4.0,0.7,-3.3,-0.2,ajincal01
6,Cole Aldrich,C,28.0,MIN,62.0,531.0,12.7,0.549,0.0,0.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.0,0.6,0.7,1.3,0.116,0.0,-2.3,1.5,-0.8,0.2,aldrico01
7,LaMarcus Aldridge,PF,31.0,SAS,72.0,2335.0,18.6,0.532,0.053,0.258,8.5,16.6,12.7,9.9,1.0,3.0,7.7,24.5,0.0,3.5,3.7,7.2,0.149,0.0,0.7,0.1,0.8,1.7,aldrila01
8,Lavoy Allen,PF,27.0,IND,61.0,871.0,11.6,0.485,0.006,0.196,13.7,14.5,14.1,9.1,1.0,2.4,13.7,10.9,0.0,0.9,0.8,1.7,0.093,0.0,-1.5,-0.2,-1.7,0.1,allenla01
9,Tony Allen,SG,35.0,MEM,71.0,1914.0,13.3,0.493,0.091,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.0,0.2,2.9,3.1,0.077,0.0,-2.0,1.1,-1.0,0.5,allento01
10,Al-Farouq Aminu,PF,26.0,POR,61.0,1773.0,11.3,0.506,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4,0.0,-0.1,2.0,1.9,0.051,0.0,-1.4,0.4,-1.1,0.4,aminual01
11,Chris Andersen,C,38.0,CLE,12.0,114.0,11.6,0.497,0.136,0.636,9.0,20.6,15.0,5.9,2.2,5.0,15.1,13.0,0.0,0.1,0.2,0.2,0.102,0.0,-4.7,2.2,-2.5,0.0,anderch01
12,Alan Anderson,SF,34.0,LAC,30.0,308.0,5.0,0.494,0.55,0.2,1.1,7.4,4.4,4.9,0.5,0.0,7.4,13.7,0.0,0.0,0.1,0.1,0.02,0.0,-4.2,-1.9,-6.1,-0.3,anderal01
13,Justin Anderson,SF,23.0,TOT,75.0,1228.0,13.9,0.537,0.442,0.294,6.2,16.9,11.4,8.8,1.7,1.6,11.7,20.9,0.0,0.6,1.3,1.9,0.074,0.0,-0.9,-0.4,-1.3,0.2,anderju01
14,Kyle Anderson,SF,23.0,SAS,72.0,1020.0,12.5,0.525,0.191,0.273,3.7,19.0,11.5,12.4,2.5,2.1,14.3,12.1,0.0,0.7,2.0,2.7,0.127,0.0,-1.4,3.2,1.8,1.0,anderky01
15,Ryan Anderson,PF,28.0,HOU,72.0,2116.0,13.5,0.583,0.655,0.194,5.8,11.2,8.5,4.7,0.7,0.5,6.2,17.9,0.0,4.0,1.1,5.2,0.117,0.0,1.7,-2.0,-0.4,0.9,anderry01
16,Giannis Antetokounmpo,SF,22.0,MIL,80.0,2845.0,26.1,0.599,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,0.0,7.9,4.5,12.4,0.21,0.0,4.9,2.4,7.3,6.7,antetgi01
