1,Quincy Acy,PF,25.0,SAC,59.0,876.0,14.7,0.629,0.229,0.318,8.1,15.1,11.6,4.4,1.6,2.2,10.0,13.1,0.0,1.8,0.7,2.5,0.137,0.0,-0.2,0.2,-0.1,0.4,acyqu01
2,Jordan Adams,SG,21.0,MEM,2.0,15.0,17.3,0.427,0.167,0.833,0.0,15.9,7.6,31.9,10.3,0.0,19.6,30.5,0.0,0.0,0.0,0.0,0.015,0.0,-2.5,9.4,6.9,0.0,adamsjo01
3,Steven Adams,C,22.0,OKC,80.0,2014.0,15.5,0.621,0.0,0.46,12.5,16.1,14.4,4.3,1.0,3.3,14.1,12.6,0.0,4.2,2.3,6.5,0.155,0.0,0.0,0.2,0.2,1.1,adamsst01
4,Arron Afflalo,SG,30.0,NYK,71.0,2371.0,10.9,0.531,0.298,0.164,1.1,11.0,6.1,9.9,0.5,0.3,8.7,17.9,0.0,1.8,0.9,2.7,0.055,0.0,-1.3,-1.6,-2.9,-0.5,afflaar01
5,Alexis Ajinça,C,27.0,NOP,59.0,861.0,13.8,0.514,0.003,0.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,0.0,0.2,0.9,1.0,0.058,0.0,-3.4,-0.6,-4.0,-0.4,ajincal01
6,Cole Aldrich,C,27.0,LAC,60.0,800.0,21.3,0.626,0.0,0.373,11.9,27.1,19.6,10.0,2.9,6.7,19.6,18.4,0.0,1.4,2.0,3.5,0.209,0.0,-0.9,3.4,2.4,0.9,aldrico01
7,LaMarcus Aldridge,PF,30.0,SAS,74.0,2261.0,22.4,0.565,0.015,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,0.0,5.6,4.5,10.1,0.215,0.0,2.0,0.3,2.3,2.5,aldrila01
8,Cliff Alexander,PF,20.0,POR,8.0,36.0,11.6,0.5,0.0,0.0,6.0,12.1,9.0,0.0,1.4,4.4,9.1,13.3,0.0,0.0,0.0,0.0,0.052,0.0,-0.5,0.5,0.0,0.0,alexacl01
9,Lavoy Allen,PF,26.0,IND,79.0,1599.0,12.4,0.532,0.0,0.197,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13.0,0.0,1.6,2.1,3.7,0.11,0.0,-1.7,0.1,-1.6,0.2,allenla01
10,Tony Allen,SG,34.0,MEM,64.0,1620.0,12.9,0.505,0.09,0.294,7.0,14.1,10.4,6.9,3.5,1.0,12.8,16.8,0.0,0.5,1.9,2.4,0.072,0.0,-2.2,1.2,-1.0,0.4,allento01
11,Al-Farouq Aminu,SF,25.0,POR,82.0,2341.0,12.7,0.533,0.485,0.217,4.5,18.6,11.5,8.8,1.5,1.8,13.2,16.9,0.0,1.7,2.3,4.0,0.082,0.0,-0.2,0.2,0.1,1.2,aminual01
12,Lou Amundson,PF,33.0,NYK,29.0,204.0,6.7,0.401,0.0,0.509,12.5,13.7,13.1,8.8,1.5,2.6,18.8,17.7,0.0,-0.3,0.2,-0.1,-0.014,0.0,-6.7,-0.2,-6.9,-0.3,amundlo01
13,Chris Andersen,C,37.0,TOT,27.0,402.0,15.3,0.598,0.194,0.5,9.9,18.2,13.9,4.4,1.9,2.9,9.3,10.8,0.0,0.8,0.4,1.3,0.149,0.0,0.7,0.0,0.7,0.3,anderch01
14,Alan Anderson,SG,33.0,WAS,13.0,192.0,9.2,0.495,0.627,0.254,0.6,15.5,7.9,10.3,1.0,0.4,3.0,15.4,0.0,0.2,0.2,0.3,0.078,0.0,-2.4,0.1,-2.3,0.0,anderal01
15,James Anderson,SG,26.0,SAC,51.0,721.0,6.0,0.469,0.483,0.163,2.0,10.9,6.5,7.7,1.4,1.6,18.0,13.7,0.0,-0.6,0.4,-0.3,-0.017,0.0,-3.9,-0.6,-4.5,-0.5,anderja01
16,Justin Anderson,SF,22.0,DAL,55.0,647.0,12.3,0.522,0.474,0.314,3.1,19.3,11.2,6.8,1.5,3.2,10.8,15.8,0.0,0.3,0.8,1.1,0.083,0.0,-1.1,1.4,0.3,0.4,anderju01
17,Kyle Anderson,SF,22.0,SAS,78.0,1245.0,12.9,0.528,0.125,0.281,2.4,19.4,11.2,13.7,2.5,1.8,15.1,14.4,0.0,0.7,2.8,3.5,0.133,0.0,-1.7,3.1,1.4,1.1,anderky01
18,Ryan Anderson,PF,27.0,NOP,66.0,2008.0,17.2,0.546,0.385,0.245,7.0,15.2,10.9,6.1,0.9,1.0,8.0,24.7,0.0,3.1,0.8,3.9,0.092,0.0,2.2,-2.4,-0.2,0.9,anderry01
19,Giannis Antetokounmpo,PG,21.0,MIL,80.0,2823.0,18.8,0.566,0.108,0.404,4.6,20.0,12.4,20.0,1.7,3.4,14.8,22.3,0.0,4.2,2.9,7.1,0.121,0.0,1.3,0.7,2.1,2.9,antetgi01
20,Thanasis Antetokounmpo,SF,23.0,NYK,2.0,6.0,32.9,0.75,0.25,0.0,0.0,17.9,9.1,0.0,0.0,0.0,0.0,30.2,0.0,0.0,0.0,0.0,0.291,0.0,3.7,2.2,5.9,0.0,antetth01
21,Carmelo Anthony,SF,31.0,NYK,72.0,2530.0,20.3,0.53,0.237,0.308,4.3,19.5,12.0,21.9,1.3,1.1,10.6,29.7,0.0,3.9,2.5,6.4,0.121,0.0,3.8,-0.5,3.3,3.4,anthoca01
22,Joel Anthony,C,33.0,DET,19.0,96.0,14.1,0.666,0.0,0.8,8.8,15.4,11.9,1.4,1.1,9.5,12.9,7.0,0.0,0.2,0.2,0.4,0.177,0.0,-2.9,3.3,0.4,0.1,anthojo01
23,Keith Appling,PG,23.0,ORL,5.0,27.0,-4.8,0.338,0.375,0.25,0.0,4.2,2.1,5.0,1.9,0.0,25.3,19.5,0.0,-0.1,0.0,-0.1,-0.199,0.0,-13.2,-2.0,-15.1,-0.1,applike01
24,Trevor Ariza,SF,30.0,HOU,81.0,2859.0,12.9,0.551,0.581,0.187,2.6,11.6,7.1,10.0,2.8,0.8,10.8,15.7,0.0,3.1,2.3,5.4,0.09,0.0,0.1,0.3,0.4,1.7,arizatr01
25,Darrell Arthur,PF,27.0,DEN,70.0,1516.0,12.5,0.514,0.239,0.108,6.2,15.4,10.7,10.0,1.8,2.6,11.4,16.7,0.0,1.0,1.3,2.3,0.072,0.0,-1.3,0.5,-0.8,0.4,arthuda01
26,Ömer Aşık,C,29.0,NOP,68.0,1178.0,11.0,0.551,0.0,0.574,10.9,28.7,19.5,3.1,0.9,1.6,19.7,11.4,0.0,0.7,1.0,1.7,0.07,0.0,-2.8,-1.0,-3.8,-0.5,asikom01
27,D.J. Augustin,PG,28.0,TOT,62.0,1178.0,13.9,0.575,0.48,0.366,0.8,8.0,4.4,25.3,1.6,0.3,17.1,18.0,0.0,2.0,0.6,2.6,0.106,0.0,0.6,-1.1,-0.4,0.4,augusdj01
28,Jeff Ayres,C,28.0,LAC,17.0,107.0,8.3,0.585,0.043,0.261,4.1,18.1,11.2,6.9,0.0,2.2,19.0,13.4,0.0,0.1,0.1,0.2,0.077,0.0,-5.6,-0.5,-6.1,-0.1,pendeje02
29,Luke Babbitt,SF,26.0,NOP,47.0,845.0,11.6,0.526,0.377,0.173,3.2,16.7,9.7,9.6,0.6,0.7,6.9,17.5,0.0,0.8,0.3,1.1,0.064,0.0,-1.0,-1.5,-2.5,-0.1,babbilu01
30,Cameron Bairstow,C,25.0,CHI,18.0,103.0,6.8,0.391,0.125,0.2,4.2,24.0,14.3,8.7,1.0,2.1,8.4,20.3,0.0,-0.1,0.1,0.0,-0.004,0.0,-6.7,-0.9,-7.5,-0.1,bairsca01
31,Leandro Barbosa,SG,33.0,GSW,68.0,1079.0,11.7,0.545,0.297,0.168,3.0,8.4,5.8,10.6,2.0,0.7,11.8,18.1,0.0,0.9,1.2,2.1,0.092,0.0,-1.9,-0.1,-2.0,0.0,barbole01
32,J.J. Barea,PG,31.0,DAL,74.0,1667.0,15.4,0.536,0.366,0.135,1.7,8.3,5.0,31.5,0.8,0.1,13.0,23.8,0.0,2.1,0.7,2.8,0.082,0.0,1.6,-1.6,0.0,0.9,bareajo01
33,Andrea Bargnani,C,30.0,BRK,46.0,634.0,11.8,0.5,0.057,0.204,4.9,12.4,8.6,4.8,0.3,1.1,7.9,23.2,0.0,0.1,0.0,0.2,0.013,0.0,-2.6,-2.6,-5.1,-0.5,bargnan01
34,Harrison Barnes,SF,23.0,GSW,66.0,2042.0,12.3,0.559,0.338,0.212,4.3,12.4,8.6,7.8,1.0,0.4,7.6,15.9,0.0,3.1,1.9,4.9,0.116,0.0,-0.2,-1.1,-1.3,0.3,barneha02
35,Matt Barnes,SF,35.0,MEM,76.0,2190.0,11.7,0.503,0.534,0.199,4.2,18.3,10.9,11.6,1.8,2.4,13.8,17.9,0.0,0.4,2.2,2.6,0.056,0.0,-1.1,0.2,-0.9,0.6,barnema02
36,Will Barton,SG,25.0,DEN,82.0,2353.0,16.0,0.535,0.331,0.273,2.7,20.0,11.2,14.4,1.5,1.3,11.2,23.0,0.0,2.4,1.9,4.3,0.088,0.0,1.2,-0.4,0.8,1.7,bartowi01
37,Brandon Bass,PF,30.0,LAL,66.0,1342.0,17.3,0.619,0.006,0.467,8.1,15.0,11.4,9.2,1.2,3.2,9.9,13.9,0.0,3.4,0.7,4.1,0.146,0.0,0.6,0.0,0.6,0.9,bassbr01
38,Nicolas Batum,SF,27.0,CHO,70.0,2448.0,15.6,0.546,0.457,0.22,2.4,16.8,9.6,26.9,1.3,1.4,17.6,21.4,0.0,2.0,2.9,5.0,0.097,0.0,1.1,0.1,1.2,2.0,batumni01
39,Jerryd Bayless,SG,27.0,MIL,52.0,1505.0,12.4,0.568,0.529,0.206,1.6,9.0,5.4,16.2,1.6,0.6,13.3,16.4,0.0,1.8,0.6,2.4,0.075,0.0,0.2,-1.0,-0.8,0.4,bayleje01
40,Aron Baynes,C,29.0,DET,81.0,1233.0,17.8,0.563,0.005,0.43,11.9,22.5,17.0,6.6,0.9,3.2,12.8,18.5,0.0,2.4,1.7,4.1,0.158,0.0,-0.5,0.3,-0.2,0.6,baynear01
41,Kent Bazemore,SF,26.0,ATL,75.0,2083.0,13.4,0.551,0.421,0.208,1.5,18.0,9.9,12.7,2.3,1.4,14.8,20.0,0.0,0.3,3.8,4.1,0.094,0.0,-1.2,1.5,0.3,1.2,bazemke01
42,Bradley Beal,SG,22.0,WAS,55.0,1708.0,15.5,0.547,0.339,0.22,2.6,9.8,6.2,15.6,1.5,0.5,11.3,25.3,0.0,1.4,1.3,2.7,0.076,0.0,1.2,-0.9,0.3,1.0,bealbr01
43,Michael Beasley,PF,27.0,HOU,20.0,363.0,22.5,0.563,0.044,0.239,8.8,21.1,14.9,9.1,1.5,2.1,9.6,29.7,0.0,0.6,0.3,1.0,0.128,0.0,2.2,-1.2,0.9,0.3,beaslmi01
44,Marco Belinelli,SG,29.0,SAC,68.0,1672.0,9.4,0.5,0.468,0.217,0.7,6.9,3.8,11.1,1.1,0.1,10.3,19.7,0.0,0.2,0.3,0.5,0.014,0.0,-2.1,-1.7,-3.8,-0.8,belinma01
45,Anthony Bennett,PF,22.0,TOR,19.0,84.0,10.4,0.446,0.519,0.37,8.3,22.8,15.7,0.0,3.1,0.0,11.3,19.2,0.0,0.0,0.1,0.1,0.054,0.0,-2.9,-1.1,-3.9,0.0,bennean01
46,Patrick Beverley,PG,27.0,HOU,71.0,2041.0,13.0,0.553,0.522,0.148,3.9,9.6,6.8,17.9,2.3,1.1,12.6,15.3,0.0,3.1,1.3,4.4,0.102,0.0,0.0,0.1,0.2,1.1,beverpa01
47,Bismack Biyombo,C,23.0,TOR,82.0,1808.0,14.9,0.586,0.003,0.785,11.7,29.5,20.8,2.4,0.5,6.1,15.5,11.5,0.0,2.8,3.1,5.9,0.156,0.0,-1.3,1.1,-0.2,0.8,biyombi01
48,Nemanja Bjelica,PF,27.0,MIN,60.0,1075.0,11.2,0.594,0.532,0.234,5.4,17.2,11.4,11.4,1.2,1.6,15.3,12.8,0.0,1.4,0.6,1.9,0.087,0.0,-0.9,0.2,-0.7,0.3,bjeline01
49,Tarik Black,C,24.0,LAL,39.0,496.0,12.3,0.537,0.0,0.433,9.2,25.4,17.0,5.2,1.4,2.9,15.1,12.9,0.0,0.3,0.4,0.7,0.072,0.0,-3.1,-0.2,-3.3,-0.2,blackta01
50,DeJuan Blair,C,26.0,WAS,29.0,218.0,5.4,0.414,0.015,0.191,10.1,19.4,14.6,7.3,1.8,0.7,16.9,17.8,0.0,-0.3,0.3,-0.1,-0.015,0.0,-8.1,-0.7,-8.9,-0.4,blairde01
51,Steve Blake,PG,35.0,DET,58.0,986.0,9.8,0.51,0.629,0.083,1.0,9.2,4.9,29.5,1.2,0.4,24.6,14.6,0.0,0.3,0.8,1.1,0.053,0.0,-1.7,-0.7,-2.4,-0.1,blakest01
52,Eric Bledsoe,PG,26.0,PHO,31.0,1059.0,20.0,0.557,0.262,0.35,1.8,11.2,6.4,31.8,2.9,1.5,16.2,27.2,0.0,1.6,1.0,2.5,0.116,0.0,2.5,0.8,3.3,1.4,bledser01
53,Bojan Bogdanović,SF,26.0,BRK,79.0,2115.0,10.7,0.55,0.451,0.176,1.9,11.8,6.8,7.3,0.7,0.2,12.5,19.4,0.0,0.9,0.0,0.9,0.021,0.0,-1.0,-2.6,-3.5,-0.8,bogdabo02
