1,Quincy Acy,SF,23.0,TOT,63.0,847.0,10.1,0.52,0.106,0.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,0.0,0.6,0.9,1.5,0.086,0.0,-2.5,0.8,-1.7,0.1,acyqu01
2,Steven Adams,C,20.0,OKC,81.0,1197.0,11.2,0.541,0.0,0.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,0.0,0.9,1.9,2.9,0.114,0.0,-3.1,0.9,-2.2,-0.1,adamsst01
3,Jeff Adrien,PF,27.0,TOT,53.0,961.0,17.4,0.553,0.0,0.433,11.8,24.8,18.2,6.8,1.3,3.0,10.6,17.3,0.0,1.6,1.1,2.7,0.134,0.0,0.0,-0.9,-0.9,0.3,adrieje01
4,Arron Afflalo,SG,28.0,ORL,73.0,2552.0,16.0,0.574,0.297,0.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,0.0,4.3,1.0,5.3,0.099,0.0,1.4,-1.6,-0.2,1.1,afflaar01
5,Alexis Ajinça,C,25.0,NOP,56.0,951.0,14.6,0.589,0.004,0.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,0.0,1.2,0.9,2.1,0.104,0.0,-2.7,0.1,-2.6,-0.1,ajincal01
6,Cole Aldrich,C,25.0,NYK,46.0,330.0,19.1,0.62,0.0,0.492,12.8,33.8,23.0,6.4,1.3,8.1,19.5,13.0,0.0,0.6,0.6,1.2,0.178,0.0,-0.1,1.6,1.5,0.3,aldrico01
7,LaMarcus Aldridge,PF,28.0,POR,69.0,2498.0,21.8,0.507,0.011,0.253,7.2,25.5,16.5,13.0,1.3,1.9,7.2,29.8,0.0,4.0,3.5,7.5,0.144,0.0,2.3,0.1,2.3,2.7,aldrila01
8,Lavoy Allen,PF,24.0,TOT,65.0,1072.0,12.5,0.47,0.043,0.167,11.7,20.0,15.7,10.1,1.1,2.4,12.0,14.6,0.0,0.6,0.9,1.5,0.066,0.0,-2.6,-0.8,-3.5,-0.4,allenla01
9,Ray Allen*,SG,38.0,MIA,73.0,1936.0,12.8,0.59,0.569,0.214,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,0.0,2.5,1.5,4.1,0.101,0.0,0.5,-0.9,-0.4,0.8,allenra02
10,Tony Allen,SG,32.0,MEM,55.0,1278.0,15.6,0.531,0.114,0.293,7.3,12.0,9.6,11.7,3.8,1.2,16.2,20.1,0.0,0.5,2.1,2.7,0.1,0.0,-1.1,2.1,1.0,1.0,allento01
11,Al-Farouq Aminu,SF,23.0,NOP,80.0,2045.0,13.2,0.516,0.097,0.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,0.0,1.3,1.8,3.1,0.072,0.0,-0.9,0.3,-0.6,0.7,aminual01
12,Lou Amundson,PF,31.0,TOT,19.0,185.0,9.1,0.446,0.0,0.75,17.3,17.2,17.3,4.7,2.5,5.0,24.8,13.9,0.0,-0.1,0.2,0.1,0.024,0.0,-6.6,0.1,-6.5,-0.2,amundlo01
13,Chris Andersen,C,35.0,MIA,72.0,1396.0,18.5,0.683,0.044,0.615,12.1,21.7,17.1,2.1,1.2,6.1,13.2,13.8,0.0,3.8,2.2,6.0,0.205,0.0,0.6,0.7,1.2,1.1,anderch01
14,Alan Anderson,SF,31.0,BRK,78.0,1773.0,9.5,0.525,0.511,0.243,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,0.0,0.8,0.9,1.7,0.047,0.0,-1.8,-1.0,-2.8,-0.4,anderal01
15,James Anderson,SG,24.0,PHI,80.0,2309.0,10.9,0.53,0.49,0.148,2.7,11.7,7.0,9.9,1.6,1.0,12.2,15.9,0.0,0.9,0.9,1.9,0.039,0.0,-1.5,-1.0,-2.6,-0.3,anderja01
16,Ryan Anderson,PF,25.0,NOP,22.0,795.0,18.8,0.572,0.463,0.175,9.5,11.3,10.4,3.6,0.7,0.7,5.0,22.9,0.0,2.2,0.1,2.3,0.138,0.0,4.5,-3.2,1.4,0.6,anderry01
17,Giannis Antetokounmpo,SF,19.0,MIL,77.0,1897.0,10.8,0.518,0.282,0.483,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15.0,0.0,0.1,1.1,1.2,0.031,0.0,-2.4,-0.1,-2.5,-0.2,antetgi01
18,Carmelo Anthony,PF,29.0,NYK,77.0,2982.0,24.4,0.561,0.253,0.329,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,0.0,8.1,2.5,10.7,0.172,0.0,5.8,-0.8,5.0,5.3,anthoca01
19,Joel Anthony,C,31.0,TOT,33.0,186.0,8.1,0.394,0.0,0.25,9.1,14.6,11.8,1.6,0.8,5.2,7.8,9.3,0.0,0.0,0.2,0.2,0.044,0.0,-4.2,-0.8,-5.0,-0.1,anthojo01
20,Pero Antić,C,31.0,ATL,50.0,925.0,11.7,0.545,0.582,0.224,7.2,18.9,13.1,9.8,1.0,1.0,14.5,18.6,0.0,0.5,0.9,1.4,0.075,0.0,-1.6,-0.7,-2.3,-0.1,anticpe01
21,Trevor Ariza,SF,28.0,WAS,77.0,2723.0,15.8,0.59,0.518,0.226,4.1,16.3,10.1,10.8,2.4,0.6,12.3,17.8,0.0,4.3,3.7,8.0,0.141,0.0,1.3,1.0,2.3,3.0,arizatr01
22,Hilton Armstrong,C,29.0,GSW,15.0,97.0,17.0,0.48,0.0,0.842,21.8,31.0,26.5,7.1,2.1,3.1,18.7,14.5,0.0,0.1,0.2,0.3,0.162,0.0,-0.7,0.5,-0.1,0.0,armsthi01
23,Darrell Arthur,SF,25.0,DEN,68.0,1161.0,9.4,0.459,0.156,0.151,4.8,14.7,9.8,8.0,1.6,3.0,11.7,18.1,0.0,-0.5,1.2,0.7,0.029,0.0,-4.0,0.8,-3.2,-0.4,arthuda01
24,Ömer Aşık,C,27.0,HOU,48.0,968.0,14.0,0.57,0.0,0.663,12.3,30.1,21.7,3.8,0.7,2.8,19.4,13.8,0.0,1.0,1.5,2.4,0.121,0.0,-1.2,-0.3,-1.5,0.1,asikom01
