1,Álex Abrines,SG,24.0,OKC,75.0,8.0,15.1,1.5,3.9,0.395,1.1,2.9,0.38,0.4,0.9,0.443,0.54,0.5,0.6,0.848,0.3,1.2,1.5,0.4,0.5,0.1,0.3,1.7,4.7,abrinal01
2,Quincy Acy,PF,27.0,BRK,70.0,8.0,19.4,1.9,5.2,0.356,1.5,4.2,0.349,0.4,1.0,0.384,0.496,0.7,0.9,0.817,0.6,3.1,3.7,0.8,0.5,0.4,0.9,2.1,5.9,acyqu01
3,Steven Adams,C,24.0,OKC,76.0,76.0,32.7,5.9,9.4,0.629,0.0,0.0,0.0,5.9,9.3,0.631,0.629,2.1,3.8,0.559,5.1,4.0,9.0,1.2,1.2,1.0,1.7,2.8,13.9,adamsst01
4,Bam Adebayo,C,20.0,MIA,69.0,19.0,19.8,2.5,4.9,0.512,0.0,0.1,0.0,2.5,4.8,0.523,0.512,1.9,2.6,0.721,1.7,3.8,5.5,1.5,0.5,0.6,1.0,2.0,6.9,adebaba01
5,Arron Afflalo,SG,32.0,ORL,53.0,3.0,12.9,1.2,3.1,0.401,0.5,1.3,0.386,0.7,1.7,0.413,0.485,0.4,0.5,0.846,0.1,1.2,1.2,0.6,0.1,0.2,0.4,1.1,3.4,afflaar01
6,Cole Aldrich,C,29.0,MIN,21.0,0.0,2.3,0.2,0.7,0.333,0.0,0.0,0.0,0.2,0.7,0.333,0.333,0.1,0.3,0.333,0.1,0.6,0.7,0.1,0.1,0.0,0.0,0.5,0.6,aldrico01
7,LaMarcus Aldridge,C,32.0,SAS,75.0,75.0,33.5,9.2,18.0,0.51,0.4,1.2,0.293,8.8,16.7,0.526,0.52,4.5,5.3,0.837,3.3,5.2,8.5,2.0,0.6,1.2,1.5,2.1,23.1,aldrila01
8,Jarrett Allen,C,19.0,BRK,72.0,31.0,20.0,3.3,5.5,0.589,0.1,0.2,0.333,3.2,5.3,0.599,0.596,1.6,2.0,0.776,2.0,3.4,5.4,0.7,0.4,1.2,1.1,2.0,8.2,allenja01
9,Kadeem Allen,PG,25.0,BOS,18.0,1.0,5.9,0.3,1.2,0.273,0.0,0.6,0.0,0.3,0.6,0.545,0.273,0.4,0.5,0.778,0.2,0.4,0.6,0.7,0.2,0.1,0.5,0.8,1.1,allenka01
10,Tony Allen,SF,36.0,NOP,22.0,0.0,12.4,2.0,4.1,0.484,0.2,0.5,0.333,1.8,3.6,0.506,0.505,0.5,1.0,0.524,0.9,1.2,2.1,0.4,0.5,0.1,0.9,2.2,4.7,allento01
