1,Quincy Acy,PF,22.0,TOR,29.0,0.0,11.8,1.4,2.6,0.56,0.0,0.1,0.5,1.4,2.5,0.562,0.567,1.1,1.3,0.816,1.0,1.6,2.7,0.4,0.4,0.5,0.6,1.8,4.0,acyqu01
2,Jeff Adrien,PF,26.0,CHA,52.0,5.0,13.7,1.4,3.2,0.429,0.0,0.0,0.0,1.4,3.2,0.434,0.429,1.3,1.9,0.65,1.3,2.5,3.8,0.7,0.3,0.5,0.6,1.5,4.0,adrieje01
3,Arron Afflalo,SF,27.0,ORL,64.0,64.0,36.0,6.2,14.1,0.439,1.1,3.8,0.3,5.1,10.4,0.489,0.478,3.0,3.5,0.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5,afflaar01
4,Josh Akognon,PG,26.0,DAL,3.0,0.0,3.0,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7,akognjo01
5,Cole Aldrich,C,24.0,TOT,45.0,0.0,8.6,1.0,1.8,0.55,0.0,0.0,0.0,1.0,1.8,0.55,0.55,0.3,0.4,0.6,0.7,2.0,2.7,0.2,0.1,0.5,0.5,1.3,2.2,aldrico01
6,LaMarcus Aldridge,PF,27.0,POR,74.0,74.0,37.7,8.6,17.8,0.484,0.0,0.2,0.143,8.6,17.6,0.488,0.485,3.8,4.7,0.81,2.4,6.7,9.1,2.6,0.8,1.2,1.9,2.5,21.1,aldrila01
7,Lavoy Allen,C,23.0,PHI,79.0,37.0,21.1,2.6,5.7,0.454,0.0,0.0,0.0,2.6,5.7,0.455,0.454,0.5,0.8,0.717,2.0,3.0,5.0,0.9,0.3,0.7,0.7,2.3,5.8,allenla01
8,Ray Allen*,SG,37.0,MIA,79.0,0.0,25.8,3.7,8.2,0.449,1.8,4.2,0.419,1.9,4.0,0.48,0.555,1.8,2.0,0.886,0.5,2.2,2.7,1.7,0.8,0.2,1.3,1.6,10.9,allenra02
9,Tony Allen,SG,31.0,MEM,79.0,79.0,26.7,3.6,8.1,0.445,0.0,0.3,0.125,3.6,7.8,0.458,0.447,1.7,2.4,0.717,1.5,3.1,4.6,1.2,1.5,0.6,1.2,2.7,8.9,allento01
10,Al-Farouq Aminu,SF,22.0,NOH,76.0,71.0,27.2,3.0,6.2,0.475,0.1,0.3,0.211,2.9,6.0,0.486,0.479,1.3,1.8,0.737,1.8,5.9,7.7,1.4,1.2,0.7,1.5,2.0,7.3,aminual01
11,Lou Amundson,PF,30.0,TOT,39.0,0.0,9.5,0.8,2.1,0.395,0.0,0.0,0.0,0.8,2.1,0.395,0.395,0.3,0.9,0.333,1.2,1.5,2.7,0.3,0.4,0.3,0.5,1.4,1.9,amundlo01
12,Chris Andersen,C,34.0,MIA,42.0,0.0,14.9,1.7,2.9,0.577,0.0,0.1,0.667,1.6,2.9,0.575,0.585,1.5,2.2,0.677,1.4,2.7,4.1,0.4,0.4,1.0,0.6,2.1,4.9,anderch01
13,Alan Anderson,SF,30.0,TOR,65.0,2.0,23.0,3.6,9.5,0.383,1.5,4.4,0.333,2.2,5.1,0.426,0.46,1.9,2.3,0.857,0.5,1.8,2.3,1.6,0.7,0.1,1.2,2.0,10.7,anderal01
14,James Anderson,SG-SF,23.0,TOT,39.0,2.0,10.3,1.3,3.2,0.413,0.5,1.5,0.35,0.8,1.7,0.47,0.496,0.6,0.7,0.857,0.5,1.4,1.8,1.1,0.4,0.1,0.6,0.6,3.8,anderja01
15,Ryan Anderson,PF,24.0,NOH,81.0,22.0,30.9,5.8,13.8,0.423,2.6,6.9,0.382,3.2,6.9,0.464,0.519,1.9,2.2,0.844,2.4,4.0,6.4,1.2,0.5,0.4,1.2,2.2,16.2,anderry01
16,Carmelo Anthony,PF,28.0,NYK,67.0,67.0,37.0,10.0,22.2,0.449,2.3,6.2,0.379,7.6,16.0,0.476,0.502,6.3,7.6,0.83,2.0,4.9,6.9,2.6,0.8,0.5,2.6,3.1,28.7,anthoca01
17,Joel Anthony,C,30.0,MIA,62.0,3.0,9.1,0.6,1.1,0.515,0.0,0.0,0.0,0.6,1.1,0.515,0.515,0.3,0.5,0.607,0.7,1.1,1.9,0.2,0.2,0.7,0.4,0.8,1.4,anthojo01
18,Trevor Ariza,SF,27.0,WAS,56.0,15.0,26.3,3.4,8.1,0.417,1.4,3.7,0.364,2.0,4.3,0.463,0.501,1.4,1.7,0.821,0.8,4.0,4.8,2.0,1.3,0.4,1.5,1.3,9.5,arizatr01
19,Darrell Arthur,PF,24.0,MEM,59.0,3.0,16.4,2.7,6.1,0.451,0.1,0.3,0.278,2.7,5.8,0.46,0.458,0.6,0.8,0.717,1.2,1.7,2.9,0.6,0.4,0.6,0.7,2.1,6.1,arthuda01
20,Ömer Aşık,C,26.0,HOU,82.0,82.0,30.0,4.0,7.5,0.541,0.0,0.0,0.0,4.0,7.5,0.542,0.541,2.0,3.6,0.562,3.4,8.3,11.7,0.9,0.6,1.1,2.1,2.7,10.1,asikom01
21,D.J. Augustin,PG,25.0,IND,76.0,5.0,16.1,1.4,3.9,0.35,0.9,2.5,0.353,0.5,1.4,0.346,0.464,1.1,1.3,0.838,0.3,0.9,1.2,2.2,0.4,0.0,0.9,0.8,4.7,augusdj01
22,Gustavo Ayón,C,27.0,TOT,55.0,3.0,13.3,1.7,3.0,0.551,0.0,0.0,0.0,1.7,3.0,0.551,0.551,0.4,0.9,0.4,1.1,2.5,3.6,1.3,0.4,0.3,0.9,1.9,3.7,ayongu01
23,Jeff Ayres,PF,25.0,IND,37.0,0.0,10.0,1.6,3.4,0.484,0.1,0.1,0.5,1.6,3.3,0.484,0.492,0.6,0.6,0.913,0.8,2.0,2.8,0.4,0.2,0.3,0.6,1.2,3.9,pendeje02
24,Luke Babbitt,PF,23.0,POR,62.0,0.0,11.8,1.4,3.8,0.368,1.0,2.9,0.348,0.4,0.9,0.429,0.5,0.2,0.2,0.769,0.2,2.0,2.2,0.5,0.2,0.1,0.4,1.3,3.9,babbilu01
25,Leandro Barbosa,PG,30.0,BOS,41.0,2.0,12.5,2.0,4.7,0.43,0.4,1.1,0.383,1.6,3.6,0.445,0.477,0.8,1.0,0.756,0.2,0.9,1.1,1.4,0.4,0.1,0.5,1.2,5.2,barbole01
26,J.J. Barea,PG,28.0,MIN,74.0,2.0,23.1,4.3,10.2,0.417,1.3,3.8,0.346,3.0,6.5,0.458,0.481,1.4,1.8,0.784,0.5,2.3,2.8,4.0,0.4,0.0,2.0,1.8,11.3,bareajo01
27,Andrea Bargnani,PF,27.0,TOR,35.0,25.0,28.7,4.9,12.2,0.399,1.1,3.5,0.309,3.8,8.7,0.436,0.444,1.9,2.2,0.844,0.7,2.9,3.7,1.1,0.6,0.7,1.5,1.8,12.7,bargnan01
28,Harrison Barnes,SF,20.0,GSW,81.0,81.0,25.4,3.4,7.8,0.439,0.6,1.8,0.359,2.8,6.0,0.464,0.481,1.8,2.3,0.758,0.7,3.5,4.1,1.2,0.6,0.2,1.2,1.7,9.2,barneha02
29,Matt Barnes,SF,32.0,LAC,80.0,4.0,25.7,3.9,8.4,0.462,1.4,4.1,0.342,2.5,4.4,0.574,0.544,1.1,1.5,0.744,1.4,3.2,4.6,1.5,1.0,0.8,1.1,2.9,10.3,barnema02
30,Earl Barron,C,31.0,TOT,12.0,2.0,13.3,1.5,4.3,0.353,0.0,0.0,0.0,1.5,4.3,0.353,0.353,0.3,0.6,0.429,1.8,3.3,5.1,0.4,0.4,0.5,0.9,2.0,3.3,barroea01
31,Will Barton,SG,22.0,POR,73.0,5.0,12.2,1.6,4.2,0.382,0.1,0.9,0.138,1.5,3.3,0.447,0.396,0.7,0.9,0.769,0.5,1.5,2.0,0.8,0.5,0.1,0.8,0.8,4.0,bartowi01
32,Brandon Bass,PF,27.0,BOS,81.0,69.0,27.6,3.5,7.3,0.486,0.0,0.0,0.0,3.5,7.2,0.487,0.486,1.6,1.9,0.86,1.6,3.7,5.2,1.0,0.5,0.8,1.0,2.3,8.7,bassbr01
33,Shane Battier,SF,34.0,MIA,72.0,20.0,24.8,2.1,5.0,0.42,1.9,4.4,0.43,0.2,0.6,0.348,0.608,0.4,0.5,0.842,0.5,1.8,2.3,1.0,0.6,0.8,0.5,2.1,6.6,battish01
34,Nicolas Batum,SF,24.0,POR,73.0,73.0,38.5,4.8,11.4,0.423,2.3,6.1,0.372,2.6,5.3,0.481,0.522,2.4,2.9,0.848,1.3,4.3,5.6,4.9,1.2,1.1,2.6,1.9,14.3,batumni01
35,Jerryd Bayless,PG,24.0,MEM,80.0,4.0,22.1,3.3,7.8,0.419,0.9,2.5,0.353,2.4,5.3,0.45,0.476,1.3,1.5,0.836,0.3,1.9,2.2,3.3,0.7,0.2,1.5,2.1,8.7,bayleje01
36,Aron Baynes,C,26.0,SAS,16.0,0.0,8.8,1.1,2.3,0.5,0.0,0.1,0.0,1.1,2.2,0.514,0.5,0.4,0.8,0.583,0.8,1.3,2.0,0.3,0.1,0.4,0.7,1.4,2.7,baynear01
37,Kent Bazemore,SG,23.0,GSW,61.0,0.0,4.4,0.7,1.9,0.371,0.2,0.6,0.294,0.5,1.3,0.402,0.414,0.4,0.7,0.614,0.1,0.3,0.4,0.4,0.3,0.1,0.3,0.4,2.0,bazemke01
38,Bradley Beal,SG,19.0,WAS,56.0,46.0,31.2,5.0,12.3,0.41,1.6,4.2,0.386,3.4,8.1,0.424,0.477,2.2,2.8,0.786,0.8,3.0,3.8,2.4,0.9,0.5,1.6,2.0,13.9,bealbr01
39,Michael Beasley,SF,24.0,PHO,75.0,20.0,20.7,4.1,10.2,0.405,0.6,1.9,0.313,3.5,8.3,0.426,0.434,1.3,1.7,0.746,0.7,3.1,3.8,1.5,0.4,0.5,1.9,1.4,10.1,beaslmi01
40,Rodrigue Beaubois,PG,24.0,DAL,45.0,0.0,12.2,1.4,3.9,0.369,0.5,1.6,0.292,1.0,2.3,0.423,0.429,0.7,0.8,0.789,0.2,1.1,1.3,1.9,0.4,0.1,0.7,1.2,4.0,beaubro01
41,Marco Belinelli,SG,26.0,CHI,73.0,27.0,25.8,3.3,8.4,0.395,1.1,3.0,0.357,2.2,5.3,0.416,0.46,1.9,2.3,0.839,0.2,1.7,1.9,2.0,0.6,0.1,1.1,1.9,9.6,belinma01
42,Patrick Beverley,PG,24.0,HOU,41.0,0.0,17.4,1.9,4.6,0.418,0.9,2.3,0.375,1.0,2.3,0.462,0.513,0.8,1.0,0.829,1.1,1.6,2.7,2.9,0.9,0.5,1.1,2.0,5.6,beverpa01
43,Andris Biedriņš,C,26.0,GSW,53.0,9.0,9.3,0.2,0.4,0.476,0.0,0.0,0.0,0.2,0.4,0.476,0.476,0.1,0.2,0.308,0.6,2.2,2.9,0.3,0.3,0.8,0.3,1.9,0.5,biedran01
