1,Stephen Curry,GSW,43006362.0
2,Russell Westbrook,WAS,41358814.0
3,Chris Paul,PHO,41358814.0
4,John Wall,HOU,41254920.0
5,James Harden,HOU,40824000.0
6,LeBron James,LAL,39219565.0
7,Kevin Durant,BRK,39058950.0
8,Blake Griffin,DET,36595996.0
9,Paul George,LAC,35450412.0
10,Klay Thompson,GSW,35361360.0
11,Mike Conley,UTA,34504132.0
12,Jimmy Butler,MIA,34379100.0
13,Kemba Walker,BOS,34379100.0
14,Kawhi Leonard,LAC,34379100.0
15,Tobias Harris,PHI,33517241.0
16,Kyrie Irving,BRK,33329100.0
17,Khris Middleton,MIL,33051724.0
18,Anthony Davis,LAL,32742000.0
19,Damian Lillard,POR,31626953.0
20,Kevin Love,CLE,31300000.0
21,Kyle Lowry,TOR,30000000.0
22,Joel Embiid,PHI,29542010.0
23,Andrew Wiggins,GSW,29542010.0
24,Kristaps Porzingis,DAL,29467800.0
25,Devin Booker,PHO,29430000.0
26,Karl-Anthony Towns,MIN,29430000.0
27,CJ McCollum,POR,29354152.0
28,Ben Simmons,PHI,29250000.0
29,Jamal Murray,DEN,29250000.0
30,Pascal Siakam,TOR,29000000.0
31,Bradley Beal,WAS,28751775.0
32,Andre Drummond,CLE,28751775.0
33,D'Angelo Russell,MIN,28649250.0
34,Nikola Jokic,DEN,28542009.0
35,Gordon Hayward,CHO,28500000.0
36,Otto Porter,CHI,28489239.0
37,DeMar DeRozan,SAS,27739975.0
38,Giannis Antetokounmpo,MIL,27528090.0
39,Steven Adams,NOP,27528090.0
40,Al Horford,OKC,27500000.0
41,Nicolas Batum,CHO,27130434.0
42,Rudy Gobert,UTA,26525281.0
43,Jrue Holiday,MIL,26131111.0
44,Nikola Vucevic,ORL,26000000.0
45,Buddy Hield,SAC,24431818.0
46,LaMarcus Aldridge,SAS,24000000.0
47,Jaylen Brown,BOS,22991071.0
48,Draymond Green,GSW,22246956.0
49,Harrison Barnes,SAC,22215909.0
50,Fred VanVleet,TOR,21250000.0
51,Victor Oladipo,IND,21000000.0
52,Malcolm Brogdon,IND,20700000.0
53,Zach LaVine,CHI,19500000.0
54,Danilo Gallinari,ATL,19500000.0
55,Gary Harris,DEN,19160714.0
56,Jerami Grant,DET,19047619.0
57,Tim Hardaway Jr.,DAL,18975000.0
58,Terry Rozier,CHO,18900000.0
59,Julius Randle,NYK,18900000.0
60,Aaron Gordon,ORL,18136364.0
61,Myles Turner,IND,18000000.0
62,Bogdan Bogdanovic,ATL,18000000.0
63,Goran Dragic,MIA,18000000.0
64,Bojan Bogdanovic,UTA,17850000.0
65,Gorgui Dieng,MEM,17287640.0
66,Domantas Sabonis,IND,17187500.0
67,Ricky Rubio,MIN,17000000.0
68,Evan Fournier,ORL,17000000.0
69,Eric Bledsoe,NOP,16875000.0
70,Eric Gordon,HOU,16869276.0
71,Caris LeVert,BRK,16203704.0
72,Joe Harris,BRK,16071429.0
73,James Johnson,DAL,16047100.0
74,Clint Capela,ATL,16000000.0
75,Dennis Schroder,LAL,15500000.0
76,Cody Zeller,CHO,15415730.0
77,Danny Green,PHI,15365854.0
78,Jonas Valanciunas,MEM,15000000.0
79,Andre Iguodala,MIA,15000000.0
80,Marcus Morris,LAC,14883721.0
81,Kelly Oubre Jr.,GSW,14375000.0
82,Dejounte Murray,SAS,14285714.0
83,Rudy Gay,SAS,14000000.0
84,Taurean Prince,BRK,13942308.0
85,Will Barton,DEN,13920000.0
86,Davis Bertans,WAS,13793103.0
87,Thaddeus Young,CHI,13545000.0
88,Terrence Ross,ORL,13500000.0
89,Marcus Smart,BOS,13446428.0
90,Patrick Beverley,LAC,13333333.0
91,Malik Beasley,MIN,13325895.0
92,Patty Mills,SAS,13285714.0
93,Christian Wood,HOU,13015874.0
94,J.J. Redick,NOP,13013700.0
95,Justise Winslow,MEM,13000000.0
96,Trevor Ariza,OKC,12800000.0
97,Brook Lopez,MIL,12697675.0
98,Dion Waiters,MEM,12650000.0
99,Cory Joseph,SAC,12600000.0
100,Markelle Fultz,ORL,12288697.0
101,Kelly Olynyk,MIA,12198243.0
102,Tony Snell,DET,12178571.0
103,Robert Covington,POR,12138345.0
104,Kentavious Caldwell-Pope,LAL,12073020.0
105,Jusuf Nurkic,POR,12000000.0
106,T.J. Warren,IND,11750000.0
107,Larry Nance Jr.,CLE,11709091.0
108,Jordan Clarkson,UTA,11500000.0
109,Spencer Dinwiddie,BRK,11454048.0
110,Dillon Brooks,MEM,11400000.0
111,Lonzo Ball,NOP,11003782.0
112,Norman Powell,TOR,10865952.0
113,Joe Ingles,UTA,10863637.0
114,Josh Richardson,DAL,10800000.0
115,Jeremy Lamb,IND,10500000.0
116,DeAndre Jordan,BRK,10375678.0
117,Zion Williamson,NOP,10245480.0
118,Dwight Powell,DAL,10185185.0
119,Rodney Hood,POR,10047450.0
120,Deandre Ayton,PHO,10018200.0
121,Paul Millsap,DEN,10000000.0
122,Tomá_ Satoransk_,CHI,10000000.0
123,Jayson Tatum,BOS,9897120.0
124,Anthony Edwards,MIN,9757440.0
125,Meyers Leonard,MIA,9756098.0
126,Al-Farouq Aminu,ORL,9720900.0
127,Dante Exum,CLE,9600000.0
128,George Hill,OKC,9590602.0
129,Kyle Anderson,MEM,9505100.0
130,Derrick Jones Jr.,POR,9268293.0
131,Jae Crowder,PHO,9258000.0
132,Derrick Favors,UTA,9258000.0
133,Montrezl Harrell,LAL,9258000.0
134,Tristan Thompson,BOS,9258000.0
135,Serge Ibaka,LAC,9258000.0
136,Ja Morant,MEM,9166800.0
137,Delon Wright,DET,9000000.0
138,Marvin Bagley III,SAC,8963640.0
139,Cedi Osman,CLE,8750000.0
140,James Wiseman,GSW,8730240.0
141,Dario _ari_,PHO,8333333.0
142,Thomas Bryant,WAS,8333333.0
143,Maxi Kleber,DAL,8250000.0
144,RJ Barrett,NYK,8231760.0
145,Jakob Poeltl,SAS,8101852.0
146,De'Aaron Fox,SAC,8099627.0
147,Luka Don_i_,DAL,8049360.0
148,Royce O'Neale,UTA,8035714.0
149,Mason Plumlee,DET,8000000.0
150,Lou Williams,LAC,8000000.0
151,P.J. Tucker,HOU,7969537.0
152,Tyus Jones,MEM,7965100.0
153,LaMelo Ball,CHO,7839960.0
154,Seth Curry,PHI,7813953.0
155,De'Anthony Melton,MEM,7812500.0
156,Derrick Rose,DET,7682927.0
157,Cristiano Felicio,CHI,7529020.0
158,Rajon Rondo,ATL,7500000.0
159,De'Andre Hunter,ATL,7422000.0
160,Jonathan Isaac,ORL,7362566.0
161,Doug McDermott,IND,7333333.0
162,Robin Lopez,WAS,7300000.0
163,Jaren Jackson Jr.,MEM,7257360.0
164,JaMychal Green,DEN,7199760.0
165,Nemanja Bjelica,SAC,7150000.0
166,Patrick Williams,CHI,7068360.0
167,Ivica Zubac,LAC,7000000.0
168,Darius Miller,OKC,7000000.0
169,Aron Baynes,TOR,6975610.0
170,Lauri Markkanen,CHI,6731508.0
171,Darius Garland,CLE,6720720.0
172,D.J. Augustin,MIL,6666667.0
173,Trae Young,ATL,6571800.0
174,Jabari Parker,SAC,6500000.0
175,Juan Hernangomez,MIN,6493000.0
176,Chris Boucher,TOR,6490385.0
177,Joakim Noah,NYK,6431666.0
178,Isaac Okoro,CLE,6400920.0
179,Frank Ntilikina,NYK,6176578.0
180,DeMarre Carroll,SAS,6167887.0
181,Ish Smith,WAS,6146341.0
182,Jarrett Culver,MIN,6104280.0
183,Alec Burks,NYK,6000000.0
184,Mo Bamba,ORL,5969040.0
185,Onyeka Okongwu,ATL,5813640.0
186,Justin Holiday,IND,5720400.0
187,Dennis Smith Jr.,NYK,5686677.0
188,Avery Bradley,MIA,5635000.0
189,Timofey Mozgov,ORL,5573333.0
190,Coby White,CHI,5572680.0
191,Trey Lyles,SAS,5500000.0
192,Wendell Carter Jr.,CHI,5448840.0
193,Zach Collins,POR,5406255.0
194,Malik Monk,CHO,5345687.0
195,Killian Hayes,DET,5307120.0
196,Luke Kennard,LAC,5273826.0
197,Ryan Anderson,MIA,5214583.0
198,Donovan Mitchell,UTA,5195501.0
199,Bam Adebayo,MIA,5115492.0
200,Jaxson Hayes,NOP,5105160.0
201,Justin Jackson,OKC,5029650.0
202,Richaun Holmes,SAC,5005350.0
203,Mike Scott,PHI,5005350.0
204,Enes Kanter,POR,5005350.0
205,Ed Davis,MIN,5005350.0
206,Rodney McGruder,DET,5000000.0
207,Nerlens Noel,NYK,5000000.0
208,Daniel Theis,BOS,5000000.0
209,Collin Sexton,CLE,4991880.0
210,Luol Deng,LAL,4990000.0
211,Pat Connaughton,MIL,4938272.0
212,Obi Toppin,NYK,4862040.0
213,Kevon Looney,GSW,4821429.0
214,Josh Jackson,DET,4767000.0
215,Garrett Temple,CHI,4767000.0
216,Kris Dunn,ATL,4767000.0
217,Elfrid Payton,NYK,4760000.0
218,Rui Hachimura,WAS,4692840.0
219,Denzel Valentine,CHI,4642800.0
220,Kevin Knox,NYK,4588680.0
221,D.J. Wilson,MIL,4548280.0
222,Deni Avdija,WAS,4469160.0
223,Cam Reddish,ATL,4458000.0
224,Mikal Bridges,PHO,4359000.0
225,T.J. Leaf,OKC,4326825.0
226,Jalen Smith,PHO,4245720.0
227,Cameron Johnson,PHO,4235160.0
228,Reggie Bullock,NYK,4200000.0
229,JaVale McGee,CLE,4200000.0
230,Shai Gilgeous-Alexander,OKC,4141320.0
231,John Collins,ATL,4137302.0
232,Nicolo Melli,NOP,4097561.0
233,Devin Vassell,SAS,4033440.0
234,P.J. Washington,CHO,4023600.0
235,Dorian Finney-Smith,DAL,4000000.0
236,Willie Cauley-Stein,DAL,4000000.0
237,Patrick McCaw,TOR,4000000.0
238,Terrance Ferguson,PHI,3944013.0
239,Miles Bridges,CHO,3934320.0
240,Jarrett Allen,BRK,3909902.0
241,OG Anunoby,TOR,3872215.0
242,Tyrese Haliburton,SAC,3831840.0
243,Tyler Herro,MIA,3822240.0
244,Stanley Johnson,TOR,3801000.0
245,Jake Layman,MIN,3761085.0
246,Jerome Robinson,WAS,3737520.0
247,Danuel House,HOU,3717000.0
248,Kira Lewis Jr.,NOP,3640200.0
249,Romeo Langford,BOS,3631200.0
250,Facundo Campazzo,DEN,3623000.0
251,Bobby Portis,MIL,3623000.0
252,Maurice Harkless,MIA,3623000.0
253,Wesley Matthews,LAL,3623000.0
254,Kyle Kuzma,LAL,3562178.0
255,Michael Porter Jr.,DEN,3550800.0
256,Jevon Carter,PHO,3549383.0
257,Tony Bradley,PHI,3542060.0
258,Derrick White,SAS,3516284.0
259,Mirza Teletovic,MIL,3500000.0
260,Boban Marjanovic,DAL,3500000.0
261,T.J. McConnell,IND,3500000.0
262,Josh Hart,NOP,3491159.0
263,Aaron Nesmith,BOS,3458400.0
264,Sekou Doumbouya,DET,3449400.0
265,Troy Brown Jr.,WAS,3372840.0
266,James Ennis,ORL,3300000.0
267,Cole Anthony,ORL,3285120.0
268,Zhaire Smith,DET,3204600.0
269,Trey Burke,DAL,3174603.0
270,Austin Rivers,NYK,3174603.0
271,Jon Leuer,MIL,3169348.0
272,Chuma Okeke,ORL,3121080.0
273,Isaiah Stewart,DET,3121080.0
274,Nickeil Alexander-Walker,NOP,3113160.0
275,Patrick Patterson,LAC,3077701.0
276,Donte DiVincenzo,MIL,3044160.0
277,Michael Carter-Williams,ORL,3000000.0
278,Khem Birch,ORL,3000000.0
279,Ryan Arcidiacono,CHI,3000000.0
280,Aleksej Pokusevski,OKC,2964840.0
281,Goga Bitadze,IND,2957520.0
282,Lonnie Walker,SAS,2892000.0
283,Dewayne Dedmon,DET,2866667.0
284,Andrew Nicholson,POR,2844429.0
285,Luka _amani_,SAS,2824320.0
286,Josh Green,DAL,2816760.0
287,Kevin Huerter,ATL,2761920.0
288,Alex Caruso,LAL,2750000.0
289,Marko Guduric,MEM,2750000.0
290,Matisse Thybulle,PHI,2711280.0
291,Saddiq Bey,DET,2689920.0
292,Josh Okogie,MIN,2651040.0
293,Vincent Poirier,PHI,2619207.0
294,Brandon Clarke,MEM,2602920.0
295,Precious Achiuwa,MIA,2582160.0
296,Marc Gasol,LAL,2564753.0
297,Udonis Haslem,MIA,2564753.0
298,Jared Dudley,LAL,2564753.0
299,J.J. Barea,DAL,2564753.0
300,Dwight Howard,PHI,2564753.0
301,Nicolas Batum,LAC,2564753.0
302,Wayne Ellington,DET,2564753.0
303,Jeff Green,BRK,2564753.0
304,Jeff Teague,BOS,2564753.0
305,Gerald Green,HOU,2564753.0
306,Grayson Allen,MEM,2545320.0
307,Grant Williams,BOS,2498760.0
308,Tyrese Maxey,PHI,2478840.0
309,Chandler Hutchison,CHI,2443440.0
310,Tyler Zeller,SAS,2436046.0
311,Darius Bazley,OKC,2399160.0
312,Zeke Nnaji,DEN,2379840.0
313,Aaron Holiday,IND,2345640.0
314,Bryn Forbes,MIL,2337145.0
315,Bismack Biyombo,CHO,2331593.0
316,Markieff Morris,LAL,2331593.0
317,Reggie Jackson,LAC,2331593.0
318,E'Twaun Moore,PHO,2331593.0
319,DeMarcus Cousins,HOU,2331593.0
320,Hassan Whiteside,SAC,2320044.0
321,Kent Bazemore,GSW,2320044.0
322,Alex Len,TOR,2320000.0
323,Luke Kornet,CHI,2304878.0
324,Ty Jerome,OKC,2303040.0
325,Mike Muscala,OKC,2283034.0
326,Ben McLemore,HOU,2283034.0
327,Anfernee Simons,POR,2252040.0
328,Brad Wanamaker,GSW,2250000.0
329,Monta Ellis,IND,2245400.0
330,Nassir Little,POR,2210640.0
331,R.J. Hampton,DEN,2193480.0
332,Matthew Dellavedova,CLE,2174318.0
333,Solomon Hill,ATL,2174318.0
334,Moritz Wagner,WAS,2161920.0
335,Edmond Sumner,IND,2160000.0
336,Dylan Windler,CLE,2137440.0
337,Immanuel Quickley,NYK,2105520.0
338,John Konchar,MEM,2093023.0
339,Landry Shamet,BRK,2090040.0
340,Mfiondu Kabengele,LAC,2075880.0
341,Jordan Poole,GSW,2063280.0
342,Bol Bol,DEN,2058240.0
343,Keldon Johnson,SAS,2048040.0
344,Payton Pritchard,BOS,2035800.0
345,Kevin Porter Jr.,CLE,2033160.0
346,Robert Williams,BOS,2029920.0
347,Tyler Johnson,BRK,2028594.0
348,Glenn Robinson III,SAC,2028594.0
349,Langston Galloway,PHO,2028594.0
350,Bruno Caboclo,HOU,2028594.0
351,Nik Stauskas,MIL,2028594.0
352,Jacob Evans,NYK,2017320.0
353,Kenrich Williams,OKC,2000000.0
354,Damyean Dotson,CLE,2000000.0
355,Omari Spellman,NYK,1988280.0
356,Cameron Payne,PHO,1977011.0
357,Udoka Azubuike,UTA,1977000.0
358,Jaden McDaniels,MIN,1964760.0
359,Malachi Flynn,TOR,1950600.0
360,Gary Clark,ORL,1944677.0
361,Desmond Bane,MEM,1936440.0
362,Jontay Porter,MEM,1904762.0
363,Jahlil Okafor,DET,1882867.0
364,JaKarr Sampson,IND,1882867.0
365,Raul Neto,WAS,1882867.0
366,Mario Hezonja,MEM,1882867.0
367,Jerian Grant,HOU,1882867.0
368,Justin Anderson,PHI,1882867.0
369,Frank Kaminsky,SAC,1882867.0
370,Larry Sanders,MIL,1865547.0
371,David Nwaba,HOU,1862250.0
372,Marquese Chriss,GSW,1824003.0
373,Timothe Luwawu-Cabarrot,BRK,1824003.0
374,Georges Niang,UTA,1783557.0
375,Rodions Kurucs,BRK,1780152.0
376,Furkan Korkmaz,PHI,1762796.0
377,Damion Lee,GSW,1762796.0
378,Alfonzo McKinnie,LAL,1762796.0
379,Semi Ojeleye,BOS,1752950.0
380,Abdel Nader,PHO,1752950.0
381,Damian Jones,PHO,1737145.0
382,DeAndre' Bembry,TOR,1737145.0
383,Henry Ellenson,TOR,1737145.0
384,Willy Hernangomez,NOP,1727145.0
385,Shake Milton,PHI,1701593.0
386,Thanasis Antetokounmpo,MIL,1701593.0
387,Brandon Goodwin,ATL,1701593.0
388,Wesley Iwundu,DAL,1678854.0
389,Sindarius Thornwell,NOP,1678854.0
390,Harry Giles,POR,1678854.0
391,Dwayne Bacon,ORL,1678854.0
392,Torrey Craig,MIL,1678854.0
393,Sterling Brown,HOU,1678854.0
394,Frank Jackson,OKC,1678854.0
395,Shaquille Harrison,UTA,1678854.0
396,Monte Morris,DEN,1663861.0
397,Mitchell Robinson,NYK,1663861.0
398,Gary Trent Jr.,POR,1663861.0
399,Hamidou Diallo,OKC,1663861.0
400,Duncan Robinson,MIA,1663861.0
401,Kendrick Nunn,MIA,1663861.0
402,Sviatoslav Mykhailiuk,DET,1663861.0
403,Jalen Brunson,DAL,1663861.0
404,Isaac Bonga,WAS,1663861.0
405,Melvin Frazier,ORL,1663861.0
406,Jarred Vanderbilt,MIN,1663861.0
407,Devonte' Graham,CHO,1663861.0
408,Bruce Brown,BRK,1663861.0
409,Drew Eubanks,SAS,1620564.0
410,Josh Gray,OKC,1620564.0
411,Wenyen Gabriel,NOP,1620564.0
412,Chimezie Metu,SAC,1620564.0
413,Jarrod Uthoff,NOP,1620564.0
414,Terance Mann,LAC,1517984.0
415,Bruno Fernando,ATL,1517981.0
416,Carsen Edwards,BOS,1517981.0
417,Cody Martin,CHO,1517981.0
418,KZ Okpala,MIA,1517981.0
419,Eric Paschall,GSW,1517981.0
420,Nicolas Claxton,BRK,1517981.0
421,Admiral Schofield,OKC,1517981.0
422,Isaiah Roby,OKC,1517981.0
423,Justin James,SAC,1517981.0
424,Ignas Brazdeikis,NYK,1517981.0
425,Talen Horton-Tucker,LAL,1517981.0
426,Daniel Gafford,CHI,1517981.0
427,Alen Smailagic,GSW,1517981.0
428,Luguentz Dort,OKC,1517981.0
429,Chris Silva,MIA,1517981.0
430,Matt Thomas,TOR,1517981.0
431,Jalen Lecque,IND,1517981.0
432,Jaylen Nowell,MIN,1517981.0
433,Miye Oni,UTA,1517981.0
434,Terence Davis,TOR,1517981.0
435,Naz Reid,MIN,1517981.0
436,Caleb Martin,CHO,1517981.0
437,Jalen McDaniels,CHO,1517981.0
438,Javonte Green,BOS,1517981.0
439,Chris Clemons,HOU,1517981.0
440,Dean Wade,CLE,1517981.0
441,Juan Toscano-Anderson,GSW,1517981.0
442,Mychal Mulder,GSW,1517981.0
443,Robert Woodard,SAC,1500000.0
444,J.R. Smith,CLE,1456667.0
445,Jae'Sean Tate,HOU,1445967.0
446,DaQuan Jeffries,SAC,1445697.0
447,Zylan Cheatham,OKC,1445697.0
448,Isaiah Hartenstein,DEN,1445697.0
449,Zach Norvell,CHI,1445697.0
450,Kelan Martin,IND,1445697.0
451,Oshae Brissett,TOR,1445697.0
452,Vernon Carey Jr.,CHO,1350000.0
453,Xavier Tillman Sr.,MEM,1300000.0
454,Tyrell Terry,DAL,1289846.0
455,Guerschon Yabusele,BOS,1039080.0
456,Elfrid Payton,NYK,1000000.0
457,Quinn Cook,LAL,1000000.0
458,Jahmi'us Ramsey,SAC,1000000.0
459,Nick Richards,CHO,1000000.0
460,Kyle Singler,OKC,999200.0
461,Deividas Sirvydis,DET,898310.0
462,Elijah Hughes,UTA,898310.0
463,Tre Jones,SAS,898310.0
464,CJ Elleby,POR,898310.0
465,Isaiah Joe,PHI,898310.0
466,Jordan Nwora,MIL,898310.0
467,Daniel Oturu,LAC,898310.0
468,Vlatko _an_ar,DEN,898310.0
469,Sam Merrill,MIL,898310.0
470,Anthony Gill,WAS,898310.0
471,Kenyon Martin Jr.,HOU,898310.0
472,Khyri Thomas,DET,744684.0
473,Patrick Patterson,OKC,737067.0
474,Cole Aldrich,MIN,685340.0
475,Shaun Livingston,GSW,666667.0
476,Dakari Johnson,MEM,459414.0
477,Wayne Ellington,NYK,440472.0
478,A.J. Hammons,MIA,350087.0
479,Rayjon Tucker,CLE,340000.0
480,Troy Williams,HOU,122741.0
481,Demetrius Jackson,BOS,92857.0
