Rk,Player,Team,Salary,PlayerID
125,RJ Barrett,NYK,$10900635,barrerj01
126,Bobby Portis,MIL,$10843350,portibo01
127,Nicolas Batum,LAC,$19700319,batumni01
128,Anthony Edwards,MIN,$10733400,edwaran01
129,Robert Williams,BOS,$10700000,williro04
130,Cade Cunningham,DET,$10552800,cunnica01
131,P.J. Tucker,PHI,$10490000,tuckepj01
132,Danilo Gallinari,SAS,$16907880,gallida01
133,Mo Bamba,ORL,$10300000,bambamo01
134,Talen Horton-Tucker,LAL,$10260000,hortota01
135,Jae Crowder,PHO,$10183800,crowdja01
136,Derrick Favors,OKC,$10183800,favorde01
137,Ivica Zubac,LAC,$10123457,zubaciv01
138,Reggie Bullock,DAL,$10012800,bullore01
139,Alec Burks,DET,$10012800,burksal01
140,Danny Green,MEM,$10000000,greenda02
141,Chet Holmgren,OKC,$9891240,holmgch01
142,De'Andre Hunter,ATL,$9835881,huntede01
143,Larry Nance Jr.,NOP,$9672727,nancela02
144,James Wiseman,GSW,$9603360,wisemja01
145,Landry Shamet,PHO,$9598214,shamela01
146,Malik Monk,SAC,$9472219,monkma01
147,Jalen Green,HOU,$9441720,greenja05
148,Jakob Poeltl,SAS,$9398148,poeltja01
149,Dario Šarić,PHO,$9240000,saricda01
150,Nerlens Noel,DET,$9240000,noelne01
151,Royce O'Neale,BRK,$9200000,onealro01
152,Kemba Walker,DET,$9165471,walkeke02
153,Monte Morris,WAS,$9125000,morrimo01
154,Alex Caruso,CHI,$9034884,carusal01
155,Maxi Kleber,DAL,$9000000,klebima01
156,Darius Garland,CLE,$8920795,garlada01
157,Jabari Smith Jr.,HOU,$8882640,smithja05
158,Nicolas Batum,CHO,$19700319,batumni01
159,Kyle Anderson,MIN,$8780488,anderky01
160,Daniel Theis,IND,$8694369,theisda01
161,LaMelo Ball,CHO,$8623920,ballla01
162,Victor Oladipo,MIA,$8563846,oladivi01
163,Mason Plumlee,CHO,$8525000,plumlma01
164,Nic Claxton,BRK,$8500000,claxtni01
165,Grayson Allen,MIL,$8500000,allengr01
166,Seth Curry,BRK,$8496653,curryse01
167,Evan Mobley,CLE,$8478720,mobleev01
168,Gary Payton II,POR,$8300000,paytoga02
169,De'Anthony Melton,PHI,$8250000,meltode01
170,JaMychal Green,OKC,$8200000,greenja01
171,Jarrett Culver,MEM,$8109063,culveja01
172,T.J. McConnell,IND,$8100000,mccontj01
173,Keegan Murray,SAC,$8008440,murrake02
174,Kevon Looney,GSW,$7870370,looneke01
175,DeAndre Jordan,DET,$10733758,jordade01
176,Delon Wright,WAS,$7804878,wrighde01
177,Isaiah Hartenstein,NYK,$7804878,harteis01
178,Patrick Williams,CHI,$7775400,willipa01
179,Taurean Prince,MIN,$7692308,princta02
180,Scottie Barnes,TOR,$7644600,barnesc01
181,Cedi Osman,CLE,$7426088,osmande01
182,Coby White,CHI,$7413955,whiteco01
